CartonIDS,CartonNum,Gap,Length,Barcode,Timestamp,Recirc
CartonID,67,23.989,15.645,SD0007GOOD_001_v,2022-05-13T21:41:52.174Z,41
CartonID,68,0,18.774,0000000000,2022-05-13T21:41:52.381Z,0
CartonID,69,0,0,SD0003GOOD_001_v,2022-05-13T21:41:52.482Z,0
CartonID,70,21.903,19.817,SD0005GOOD_001_v,2022-05-13T21:41:52.912Z,41
CartonID,71,15.1235,19.2955,SD0002GOOD_001_v,2022-05-13T21:41:53.212Z,41
CartonID,72,34.9405,18.774,SD0008GOOD_001_v,2022-05-13T21:41:53.476Z,41
CartonID,73,35.462,18.774,SD0007GOOD_001_v,2022-05-13T21:41:53.889Z,41
CartonID,74,65.1875,18.774,SD0009GOOD_001_v,2022-05-13T21:41:54.307Z,41
CartonID,75,6.7795,18.774,SD0006GOOD_001_v,2022-05-13T21:41:54.992Z,41
CartonID,76,48.4995,18.774,SD0003GOOD_001_v,2022-05-13T21:41:55.195Z,41
CartonID,77,3.6505,17.2095,SD0006GOOD_001_v,2022-05-13T21:41:55.714Z,41
CartonID,78,10.43,15.645,SD0003GOOD_001_v,2022-05-13T21:41:55.872Z,41
CartonID,79,35.462,18.774,SD0001GOOD_001_v,2022-05-13T21:41:56.074Z,41
CartonID,80,23.4675,17.2095,SD0006GOOD_001_v,2022-05-13T21:41:56.492Z,41
CartonID,81,23.4675,18.774,SD0006GOOD_001_v,2022-05-13T21:41:56.808Z,41
CartonID,82,29.204,18.774,SD0006GOOD_001_v,2022-05-13T21:41:57.141Z,41
CartonID,83,43.2845,19.817,SD0010GOOD_001_v,2022-05-13T21:41:57.505Z,41
CartonID,84,4.6935,18.2525,??????????,2022-05-13T21:41:57.984Z,41
CartonID,85,23.989,15.645,SD0010GOOD_001_v,2022-05-13T21:41:58.162Z,41
CartonID,86,6.7795,19.2955,SD0007GOOD_001_v,2022-05-13T21:41:58.466Z,41
CartonID,87,65.1875,19.2955,SD0003GOOD_001_v,2022-05-13T21:41:58.669Z,41
CartonID,88,8.865499,18.774,SD0001GOOD_001_v,2022-05-13T21:41:59.464Z,41
CartonID,89,18.774,18.774,SD0003GOOD_001_v,2022-05-13T21:41:59.682Z,41
CartonID,90,5.7365,16.1665,SD0006GOOD_001_v,2022-05-13T21:41:59.978Z,41
CartonID,91,65.1875,18.2525,SD0007GOOD_001_v,2022-05-13T21:42:00.149Z,41
CartonID,92,52.15,19.2955,SD0002GOOD_001_v,2022-05-13T21:42:00.789Z,41
CartonID,93,34.9405,19.2955,SD0001GOOD_001_v,2022-05-13T21:42:01.345Z,41
CartonID,94,13.0375,15.645,9999999999,2022-05-13T21:42:01.762Z,41
CartonID,95,14.0805,15.645,SD0002GOOD_001_v,2022-05-13T21:42:01.985Z,41
CartonID,96,4.6935,16.688,SD0009GOOD_001_v,2022-05-13T21:42:02.220Z,41
CartonID,97,45.3705,19.2955,SD0003GOOD_001_v,2022-05-13T21:42:02.378Z,41
CartonID,98,61.0155,15.1235,SD0005GOOD_001_v,2022-05-13T21:42:02.873Z,41
CartonID,99,60.494,19.2955,SD0002GOOD_001_v,2022-05-13T21:42:03.449Z,41
