Number,Event_Timestamp,Duration,Class,Location,Description,Tag
36788906,34:58.0,838:59:59,Error,RS2-92,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_92.Fault.Flt_CB
36790739,34:58.0,838:59:59,Error,RS2-92.EPC1,Actuated,[MCP06]RS02_92_EPC1_STN.Ctrl.Out_EStop
36788940,34:58.0,838:59:59,Error,RS4-102,Circuit Breaker Fault in DPB Panel,[MCP06]RS04_102.Fault.Flt_CB
36790672,34:58.0,838:59:59,Error,RS4-102.EPC1,Actuated,[MCP06]RS04_102_EPC1_STN.Ctrl.Out_EStop
36788932,34:58.0,838:59:59,Error,RS4-103,Circuit Breaker Fault in DPB Panel,[MCP06]RS04_103.Fault.Flt_CB
36790293,34:58.0,838:59:59,Error,RS4-11CH.DIV,Retract PX Faulted,[MCP06]RS04_11CH.DIV.Ctrl.Out_Rtr_Px_Fault
36788839,34:58.0,838:59:59,Error,RS4-12.EPC1,Actuated,[MCP06]RS04_12_EPC1_STN.Ctrl.Out_EStop
36790738,34:58.0,838:59:59,Error,RS4-22.EPC1,Actuated,[MCP06]RS04_22_EPC1_STN.Ctrl.Out_EStop
36788915,34:58.0,838:59:59,Error,RS4-23,Circuit Breaker Fault in DPB Panel,[MCP06]RS04_23.Fault.Flt_CB
36788747,34:58.0,838:59:59,Error,RS4-32.EPC1,Actuated,[MCP06]RS04_32_EPC1_STN.Ctrl.Out_EStop
36788912,34:58.0,838:59:59,Error,RS4-33,Circuit Breaker Fault in DPB Panel,[MCP06]RS04_33.Fault.Flt_CB
36790310,34:58.0,838:59:59,Error,RS4-41CH.DIV,Retract PX Faulted,[MCP06]RS04_41CH.DIV.Ctrl.Out_Rtr_Px_Fault
36788805,34:58.0,838:59:59,Error,RS4-42.EPC1,Actuated,[MCP06]RS04_42_EPC1_STN.Ctrl.Out_EStop
36790542,34:58.0,838:59:59,Error,RS4-51CH.DIV,Retract PX Faulted,[MCP06]RS04_51CH.DIV.Ctrl.Out_Rtr_Px_Fault
36790636,34:58.0,838:59:59,Error,RS4-52.EPC1,Actuated,[MCP06]RS04_52_EPC1_STN.Ctrl.Out_EStop
36790575,34:58.0,838:59:59,Error,RS4-61CH.DIV,Retract PX Faulted,[MCP06]RS04_61CH.DIV.Ctrl.Out_Rtr_Px_Fault
36790699,34:58.0,838:59:59,Error,RS4-62.EPC1,Actuated,[MCP06]RS04_62_EPC1_STN.Ctrl.Out_EStop
36790741,34:58.0,838:59:59,Error,RS4-72.EPC1,Actuated,[MCP06]RS04_72_EPC1_STN.Ctrl.Out_EStop
36790471,34:58.0,838:59:59,Error,RS4-81CH.DIV,Retract PX Faulted,[MCP06]RS04_81CH.DIV.Ctrl.Out_Rtr_Px_Fault
36790641,34:58.0,838:59:59,Error,RS4-82.EPC1,Actuated,[MCP06]RS04_82_EPC1_STN.Ctrl.Out_EStop
36790618,34:58.0,838:59:59,Error,RS4-91CH.DIV,Retract PX Faulted,[MCP06]RS04_91CH.DIV.Ctrl.Out_Rtr_Px_Fault
36790705,34:58.0,838:59:59,Error,RS4-92.EPC1,Actuated,[MCP06]RS04_92_EPC1_STN.Ctrl.Out_EStop
36786810,34:57.0,838:59:59,Error,PS2-15PT,Circuit Breaker Fault in DPB Panel,[MCP06]PS02_15PT.Fault.Flt_CB
