Number (ID),Start Timestamp,End Timestamp,Duration,Class,Location,Description,Tag
42849696,2022-06-24 00:03:01.0,2022-06-24 00:03:16.0,00:00:15,Error,UL9-1,Anti-Gridlock Prevention Mode,[MCP01]UL09_01.Color.Output.5
42849694,2022-06-24 00:03:01.0,2022-06-24 00:03:03.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42849659,2022-06-24 00:02:54.0,2022-06-24 00:02:55.0,00:00:01,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42849643,2022-06-24 00:02:41.0,2022-06-24 00:02:45.0,00:00:04,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42849525,2022-06-24 00:01:47.0,2022-06-24 00:02:02.0,00:00:15,Error,UL1-1,Anti-Gridlock Prevention Mode,[MCP07]UL01_01.Color.Output.5
42849523,2022-06-24 00:01:47.0,2022-06-24 00:02:01.0,00:00:14,Error,UL7-1,Anti-Gridlock Prevention Mode,[MCP01]UL07_01.Color.Output.5
42849521,2022-06-24 00:01:47.0,2022-06-24 00:02:02.0,00:00:15,Error,PS5-3,Anti-Gridlock Prevention Mode,[MCP07]PS05_03.Color.Output.5
42849519,2022-06-24 00:01:47.0,2022-06-24 00:02:02.0,00:00:15,Error,UL1-2,Anti-Gridlock Prevention Mode,[MCP07]UL01_02.Color.Output.5
42849518,2022-06-24 00:01:46.0,2022-06-24 00:02:01.0,00:00:15,Error,UL9-1,Anti-Gridlock Prevention Mode,[MCP01]UL09_01.Color.Output.5
42849338,2022-06-24 00:00:17.0,2022-06-24 00:00:32.0,00:00:15,Error,UL1-1,Anti-Gridlock Prevention Mode,[MCP07]UL01_01.Color.Output.5
42849336,2022-06-24 00:00:17.0,2022-06-24 00:00:32.0,00:00:15,Error,UL7-1,Anti-Gridlock Prevention Mode,[MCP01]UL07_01.Color.Output.5
42849333,2022-06-24 00:00:16.0,2022-06-24 00:00:31.0,00:00:15,Error,PS5-3,Anti-Gridlock Prevention Mode,[MCP07]PS05_03.Color.Output.5
42849331,2022-06-24 00:00:16.0,2022-06-24 00:00:31.0,00:00:15,Error,UL1-2,Anti-Gridlock Prevention Mode,[MCP07]UL01_02.Color.Output.5
42849329,2022-06-24 00:00:16.0,2022-06-24 00:00:31.0,00:00:15,Error,UL9-1,Anti-Gridlock Prevention Mode,[MCP01]UL09_01.Color.Output.5
42849285,2022-06-23 23:59:47.0,2022-06-24 00:00:02.0,00:00:15,Error,UL7-1,Anti-Gridlock Prevention Mode,[MCP01]UL07_01.Color.Output.5
42849283,2022-06-23 23:59:47.0,2022-06-24 00:00:02.0,00:00:15,Error,UL9-1,Anti-Gridlock Prevention Mode,[MCP01]UL09_01.Color.Output.5
42849280,2022-06-23 23:59:46.0,2022-06-23 23:59:47.0,00:00:01,Error,PS5-3,Anti-Gridlock Prevention Mode,[MCP07]PS05_03.Color.Output.5
42849278,2022-06-23 23:59:46.0,2022-06-24 00:00:01.0,00:00:15,Error,UL1-2,Anti-Gridlock Prevention Mode,[MCP07]UL01_02.Color.Output.5
42849277,2022-06-23 23:59:46.0,2022-06-24 00:00:01.0,00:00:15,Error,UL1-1,Anti-Gridlock Prevention Mode,[MCP07]UL01_01.Color.Output.5
42849233,2022-06-23 23:59:13.0,2022-06-24 00:02:46.0,00:03:33,Error,PRS3-3.PE1,Jammed,[MCP07]PRS03_03_PE1.Ctrl.Out_FaultPE
42849069,2022-06-23 23:57:38.0,2022-06-24 00:02:29.0,00:04:51,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42848958,2022-06-23 23:56:38.0,2022-06-23 23:56:42.0,00:00:04,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42848909,2022-06-23 23:56:21.0,2022-06-23 23:58:07.0,00:01:46,Error,BSB1-21,Overlength Fault,[MCP21]BSB1_21_HMI.Status.24
42848769,2022-06-23 23:55:05.0,2022-06-23 23:55:07.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42848390,2022-06-23 23:53:15.0,2022-06-23 23:53:45.0,00:00:30,Error,UL1-1,Anti-Gridlock Prevention Mode,[MCP07]UL01_01.Color.Output.5
42848388,2022-06-23 23:53:15.0,2022-06-23 23:53:45.0,00:00:30,Error,UL1-2,Anti-Gridlock Prevention Mode,[MCP07]UL01_02.Color.Output.5
42848386,2022-06-23 23:53:14.0,2022-06-23 23:53:44.0,00:00:30,Error,UL7-1,Anti-Gridlock Prevention Mode,[MCP01]UL07_01.Color.Output.5
42848383,2022-06-23 23:53:14.0,2022-06-23 23:53:44.0,00:00:30,Error,UL9-1,Anti-Gridlock Prevention Mode,[MCP01]UL09_01.Color.Output.5
42848345,2022-06-23 23:52:53.0,2022-06-23 23:52:56.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42848179,2022-06-23 23:51:46.0,2022-06-23 23:51:49.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42848160,2022-06-23 23:51:26.0,2022-06-23 23:52:13.0,00:00:47,Error,PRS1-9CH.PE1,Jammed,[MCP02]PRS01_09CH_PE1.Ctrl.Out_FaultPE
42848064,2022-06-23 23:51:00.0,2022-06-23 23:51:03.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42848000,2022-06-23 23:50:36.0,2022-06-23 23:50:39.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847945,2022-06-23 23:50:32.0,2022-06-23 23:52:26.0,00:01:54,Error,PRS3-3.PE1,Jammed,[MCP07]PRS03_03_PE1.Ctrl.Out_FaultPE
42847885,2022-06-23 23:50:14.0,2022-06-23 23:54:48.0,00:04:34,Error,CH-20806-CH.Jam_PE,Jammed,[MCP04]Spiral[90].Ch_Jam_PE.Ctrl.Out_FaultPE
42847761,2022-06-23 23:49:03.0,2022-06-24 00:22:50.0,00:33:47,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42847751,2022-06-23 23:49:02.0,2022-06-23 23:49:05.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847715,2022-06-23 23:48:29.0,2022-06-23 23:48:41.0,00:00:12,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847651,2022-06-23 23:47:37.0,2022-06-23 23:47:50.0,00:00:13,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847624,2022-06-23 23:47:15.0,2022-06-23 23:47:17.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847604,2022-06-23 23:47:07.0,2022-06-23 23:47:08.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42847602,2022-06-23 23:47:07.0,2022-06-23 23:49:02.0,00:01:55,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42847600,2022-06-23 23:47:07.0,2022-06-23 23:49:02.0,00:01:55,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42847598,2022-06-23 23:47:06.0,2022-06-23 23:49:03.0,00:01:57,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42847558,2022-06-23 23:46:38.0,2022-06-24 00:06:24.0,00:19:46,Error,PS1 Loop,No Demand,[MCP05]FMS_PS01_Loop_Curr_PPM_Demand
42847543,2022-06-23 23:46:23.0,2022-06-23 23:46:25.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847522,2022-06-23 23:45:51.0,2022-06-23 23:48:14.0,00:02:23,Error,BSB1-21,Overlength Fault,[MCP21]BSB1_21_HMI.Status.24
42847502,2022-06-23 23:45:34.0,2022-06-23 23:45:41.0,00:00:07,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847437,2022-06-23 23:44:48.0,2022-06-23 23:44:50.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847422,2022-06-23 23:44:37.0,2022-06-23 23:44:40.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847415,2022-06-23 23:44:31.0,2022-06-23 23:47:06.0,00:02:35,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42847386,2022-06-23 23:44:26.0,2022-06-23 23:45:46.0,00:01:20,Error,RS4-31CH.Jam_PE,Jammed,[MCP06]RS04_31CH.Jam_PE.Ctrl.Out_FaultPE
42847350,2022-06-23 23:44:12.0,2022-06-23 23:44:22.0,00:00:10,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
